x	y	color
34020.1796875	12262.23046875	0
34406.76953125	12224.8232421875	0
34556.50390625	11161.6328125	0
34471.64453125	11560.6259765625	0
34416.4453125	11596.5869140625	0
34488.40234375	11312.583984375	0
34485.53515625	11514.662109375	0
34528.13671875	11423.5888671875	0
36684.50390625	8666.501953125	0
34815.50390625	9522.1181640625	0
34785.79296875	9570.8857421875	0
34983.15234375	9580.318359375	0
35023.6796875	9575.2275390625	0
34426.37890625	8895.435546875	0
34407.578125	9033.3203125	0
35369.28125	9345.212890625	0
35334.83203125	9331.8740234375	0
35173.24609375	9138.20703125	0
34593.6953125	9254.619140625	0
39689.421875	7934.736328125	0
39654.328125	7943.5400390625	0
39312.5703125	8198.1103515625	0
39482.8515625	8339.560546875	0
39476.8515625	8207.4189453125	0
39456.6171875	8651.1240234375	0
39524.5703125	8620.3486328125	0
39510.44921875	8647.349609375	0
39587.78515625	8613.5771484375	0
39597	8642.28125	0
39562.171875	8640.35546875	0
39606.14453125	9462.80078125	0
39573.26953125	8748.9189453125	0
39623.78125	8808.2724609375	0
39574.39453125	8781.5224609375	0
39619.38671875	8768.8974609375	0
39561.99609375	8943.2431640625	0
39610.73828125	8925.810546875	0
39600.765625	8968.59375	0
39573.06640625	8895.4013671875	0
39617.078125	8871.3037109375	0
39644.0234375	8904.6474609375	0
39509.5625	8862.88671875	0
39518.9453125	8928.193359375	0
39536.7890625	8898.033203125	0
39465.78515625	9256.81640625	0
39430.859375	9319.40625	0
39453.74609375	9289.6904296875	0
39407.62890625	9354.6796875	0
39416.53515625	9391.34765625	0
39460.1953125	9382.1806640625	0
39448.6875	9349.02734375	0
39500.07421875	9366.3779296875	0
39539.859375	9363.7421875	0
39515.10546875	9336.083984375	0
39565.62890625	9331.525390625	0
39627.87109375	9419.6357421875	0
39593.0703125	9392.3115234375	0
39593.703125	9363.54296875	0
39611.2421875	9341.0498046875	0
39446.2578125	9019.85546875	0
39435.5390625	9085.076171875	0
39550.22265625	9075.38671875	0
39502.4375	9033.3154296875	0
39537.1328125	9018.806640625	0
39532.49609375	9211.486328125	0
39514.1328125	9254.9755859375	0
39558.5625	9245.630859375	0
39419.6484375	9132.9462890625	0
39474.6875	9229.5947265625	0
39489.8125	9201.0107421875	0
39440.70703125	9173.7763671875	0
39478.2109375	9159.2041015625	0
39613.3671875	9047.828125	0
39637.98828125	9084.994140625	0
39598.828125	9085.638671875	0
38373.125	8226.3310546875	0
38393.69140625	8291.9287109375	0
38350.61328125	8254.40625	0
38417.12109375	8248.125	0
38408.98046875	9052.2919921875	0
38348.1796875	8804.517578125	0
38320.19921875	8824.3662109375	0
38295.00390625	8838.1611328125	0
